model,experiment_type,lambda_reg,epochs,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
albert,causal_mediation,0.5,10,,0.2226808283651415,0.90892,0.8638855271588239,0.9708,0.9142275963385692
albert,causal_mediation,0.75,5,,0.330841448999672,0.84452,0.7692403876211316,0.98432,0.8635901035269345
albert,causal_mediation,0.75,10,,0.3034428051596606,0.85708,0.7844261772764927,0.9848,0.873266413648778
albert,causal_mediation,1.0,5,,0.3085696988310653,0.85716,0.7848529317935303,0.98408,0.8732474354878785
albert,causal_mediation,1.0,10,,0.231616984296683,0.91628,0.8888722815933039,0.95152,0.9191298636065068
bert,naive_baseline,,5,0.3652629800526972,0.3235055832508105,0.86032,0.8612849278781595,0.86032,0.8602266725665421
bert,naive_baseline,,10,0.3559185231124752,0.3204167341737176,0.86104,0.8631021039061155,0.86104,0.8608424265263555
bert,causal_subset,,5,0.45463368644603,0.4343947442278256,0.79564,0.7988776357448925,0.79564,0.7950850572206988
bert,causal_subset,,10,0.4471013706346696,0.4247249297711876,0.79976,0.800108560006629,0.79976,0.7997018411061065
bert,causal_mediation,0.005,5,,0.3057973682445427,0.86912,0.8580074487895717,0.88464,0.8711202142744604
bert,causal_mediation,0.005,10,,0.2927293824556302,0.87704,0.868952559887271,0.888,0.8783730315739495
bert,causal_mediation,0.01,5,,0.2879361233591165,0.87912,0.8700609089489302,0.89136,0.8805816802339367
bert,causal_mediation,0.01,10,,0.2784725995811795,0.8838,0.8761270090160721,0.894,0.8849732726192833
bert,causal_mediation,0.025,5,,0.2750234422735722,0.88464,0.8758599124452783,0.89632,0.8859718488059466
bert,causal_mediation,0.025,10,,0.2673425603752106,0.88884,0.8811857893498549,0.89888,0.8899449526751417
bert,causal_mediation,0.05,5,,0.2637856718938099,0.89004,0.8845334805584036,0.8972,0.8908217165097899
bert,causal_mediation,0.05,10,,0.2566324650385653,0.89528,0.8897917324076996,0.90232,0.8960120749920559
bert,causal_mediation,0.075,5,,0.2543773996385716,0.89636,0.8863760430476487,0.90928,0.8976819492161277
bert,causal_mediation,0.075,10,,0.2470086014055559,0.89956,0.8923101091823109,0.9088,0.9004795687844319
bert,causal_mediation,0.1,5,,0.244224294340232,0.90064,0.8925995609909062,0.91088,0.9016471333544503
bert,causal_mediation,0.1,10,,0.2380195379111813,0.904,0.8965138190954773,0.91344,0.90489776509748
bert,causal_mediation,0.25,5,,0.2391493796101,0.90572,0.8979207532365634,0.91552,0.9066349772232126
bert,causal_mediation,0.25,10,,0.2338326484571501,0.90696,0.8977326035965598,0.91856,0.9080268880980624
bert,causal_mediation,0.5,5,,0.2429217059786121,0.9066,0.8970392938051714,0.91864,0.9077111576617524
bert,causal_mediation,0.5,10,,0.2385828609966213,0.90884,0.9018636470865772,0.91752,0.9096244596898918
bert,causal_mediation,0.75,5,,0.2686801167396841,0.90244,0.8872296205065046,0.92208,0.9043191714722844
bert,causal_mediation,0.75,10,,0.2667429694466136,0.89964,0.8795684218524428,0.92608,0.9022251665952222
bert,causal_mediation,1.0,5,,0.3130619426187001,0.8768,0.8390928725701944,0.9324,0.883289124668435
bert,causal_mediation,1.0,10,,0.3012470187308291,0.87936,0.8553657074340527,0.91312,0.8832997987927566
deberta,causal_subset,,5,0.5958761089860973,0.577854446909478,0.7674,0.7711344347815332,0.7674,0.7665963111819767
deberta,causal_subset,,10,0.5520564618205231,0.5277602583722891,0.75936,0.778288230382139,0.75936,0.7551973363386767
deberta,causal_mediation,0.005,5,,0.337884695584178,0.86812,0.8672093208842072,0.86936,0.8682833286724462
deberta,causal_mediation,0.005,10,,0.3009966876886785,0.87792,0.879559697894906,0.87576,0.8776557363906037
deberta,causal_mediation,0.01,5,,0.2959571139077842,0.87956,0.881851106639839,0.87656,0.8791975927783351
deberta,causal_mediation,0.01,10,,0.2893149537012726,0.88116,0.8857582381993361,0.8752,0.8804474669027403
deberta,causal_mediation,0.025,5,,0.2879074268958717,0.88032,0.8904402102496715,0.86736,0.8787485816177663
deberta,causal_mediation,0.025,10,,0.284577936970368,0.88236,0.8901314178434413,0.8724,0.8811765181204799
deberta,causal_mediation,0.05,5,,0.2827539737023786,0.88312,0.8884022708840227,0.87632,0.8823197744663712
deberta,causal_mediation,0.05,10,,0.2797462209136039,0.88404,0.8919095436362152,0.874,0.8828639540991554
deberta,causal_mediation,0.075,5,,0.2777451659046858,0.88476,0.8948362203431574,0.872,0.8832705319881691
deberta,causal_mediation,0.075,10,,0.2753924891464039,0.88584,0.8982658959537573,0.87024,0.884030881755384
deberta,causal_mediation,0.1,5,,0.2760740907811,0.88492,0.8959104747798897,0.87104,0.8833002068713747
deberta,causal_mediation,0.1,10,,0.2737295642900467,0.88616,0.8949435444280806,0.87504,0.8848798640886659
deberta,causal_mediation,0.25,5,,0.2760094890119135,0.88532,0.8945040543861086,0.87368,0.8839694038609412
deberta,causal_mediation,0.25,10,,0.2729121978738159,0.88612,0.8973409072198897,0.872,0.8844889844605835
deberta,causal_mediation,0.5,5,,0.284251433673203,0.88252,0.9063482620888926,0.8532,0.878971442699963
deberta,causal_mediation,0.5,10,,0.2827349161729217,0.8834,0.9025619487610248,0.8596,0.8805572628559722
deberta,causal_mediation,0.75,5,,0.3570446398675442,0.87472,0.917320028510335,0.82368,0.8679817905918057
deberta,causal_mediation,0.75,10,,0.3609176361453533,0.87792,0.916138125440451,0.832,0.8720442730169379
deberta,causal_mediation,1.0,5,,0.5293176979410649,0.87708,0.9124879670954756,0.83416,0.8715676850420029
deberta,causal_mediation,1.0,10,,0.5585286039626598,0.884,0.90127069051998,0.86248,0.8814487776960184
distilbert,naive_baseline,,5,0.3528418661603467,0.3160012536536203,0.86588,0.865891804547755,0.86588,0.8658789182330031
distilbert,naive_baseline,,10,0.3437506290711581,0.3200696853170635,0.86228,0.864534371541391,0.86228,0.8620667465831825
distilbert,causal_subset,,5,0.4224944856310989,0.4008419531816408,0.8152,0.8152728406371007,0.8152,0.8151893253354313
distilbert,causal_subset,,10,0.4144119880926662,0.397876303280112,0.8164,0.8167748586967876,0.8164,0.816345667702333
distilbert,causal_mediation,0.005,5,,0.305216642330512,0.87036,0.8629557036456291,0.88056,0.8716689764403088
distilbert,causal_mediation,0.005,10,,0.2951423668341922,0.875,0.8675029400235202,0.8852,0.8762621263116216
distilbert,causal_mediation,0.01,5,,0.2920645049216627,0.87684,0.867519700397909,0.88952,0.8783821147845321
distilbert,causal_mediation,0.01,10,,0.2856100183710222,0.8798,0.8711013835691394,0.89152,0.88119242478156
distilbert,causal_mediation,0.025,5,,0.2834429298095543,0.88168,0.8726179318962825,0.89384,0.8831014859310782
distilbert,causal_mediation,0.025,10,,0.2775569507540564,0.88512,0.8782806852113783,0.89416,0.8861492111313723
distilbert,causal_mediation,0.05,5,,0.2754393482309071,0.88628,0.8778464668596917,0.89744,0.887535108192571
distilbert,causal_mediation,0.05,10,,0.2707205353330366,0.88796,0.879193056532958,0.89952,0.8892403811934041
distilbert,causal_mediation,0.075,5,,0.2694416686532612,0.88916,0.8805444731283736,0.90048,0.8904006644781078
distilbert,causal_mediation,0.075,10,,0.2640084225987695,0.89236,0.8864549680876211,0.9,0.8931761343336906
distilbert,causal_mediation,0.1,5,,0.2628571658954739,0.89388,0.8861265783075837,0.90392,0.8949348540651855
distilbert,causal_mediation,0.1,10,,0.257678494686815,0.89672,0.8902880528883992,0.90496,0.8975640720463381
distilbert,causal_mediation,0.25,5,,0.2593161620775277,0.89696,0.8885061071093016,0.90784,0.8980690091801201
distilbert,causal_mediation,0.25,10,,0.2552389774843335,0.89816,0.8890104736595279,0.90992,0.8993437178777575
distilbert,causal_mediation,0.5,5,,0.2717614417498835,0.89696,0.8831660231660232,0.91496,0.8987819253438115
distilbert,causal_mediation,0.5,10,,0.2684641921021621,0.8978,0.8811220970338008,0.91968,0.8999882569381923
distilbert,causal_mediation,0.75,5,,0.3132273381288739,0.88936,0.8742694555521378,0.90952,0.8915464240903387
distilbert,causal_mediation,0.75,10,,0.3063608356015619,0.88888,0.8641198501872659,0.92288,0.8925338491295938
distilbert,causal_mediation,1.0,5,,0.4114407378267342,0.85712,0.8324892000595859,0.89416,0.862223250790712
distilbert,causal_mediation,1.0,10,,0.3762156929718289,0.8616,0.8219831884883887,0.92312,0.8696209209435526
electra_small_discriminator,naive_baseline,,5,0.5618810172997754,0.5186143606634226,0.74048,0.7547657985305963,0.74048,0.7367901773080029
electra_small_discriminator,naive_baseline,,10,0.5502379090928604,0.4998997975848687,0.75596,0.7619161406650534,0.75596,0.7545646608271482
electra_small_discriminator,causal_subset,,5,0.6130992852375435,0.5721057812067766,0.70716,0.707988654754216,0.70716,0.7068680307093524
electra_small_discriminator,causal_subset,,10,0.6088503263199551,0.567530812425104,0.71,0.7117737983601322,0.71,0.7093914722525279
electra_small_discriminator,causal_mediation,0.005,5,,0.5054128590115583,0.7508,0.7098112702449472,0.84848,0.7729757306318782
electra_small_discriminator,causal_mediation,0.005,10,,0.4914081576003223,0.76088,0.728521373510862,0.83168,0.7766903249906612
electra_small_discriminator,causal_mediation,0.01,5,,0.4913249430523724,0.75984,0.7237531000275558,0.84048,0.7777613266212614
electra_small_discriminator,causal_mediation,0.01,10,,0.4849040379899095,0.765,0.7346461712828505,0.82968,0.7792764022992824
electra_small_discriminator,causal_mediation,0.025,5,,0.4858097542823314,0.76424,0.7298858574610245,0.83896,0.7806312341819266
electra_small_discriminator,causal_mediation,0.025,10,,0.4822932911067915,0.7674,0.7365701748177508,0.83256,0.7816290510345862
electra_small_discriminator,causal_mediation,0.05,5,,0.4863220691223291,0.76464,0.7283584150214,0.84408,0.7819610168235381
electra_small_discriminator,causal_mediation,0.05,10,,0.4774242946621858,0.77256,0.7456734929333718,0.82728,0.7843598300970873
electra_small_discriminator,causal_mediation,0.075,5,,0.4787993568424147,0.77116,0.7421936405859235,0.83096,0.7840724665031138
electra_small_discriminator,causal_mediation,0.075,10,,0.4763947140880677,0.77204,0.7438158743815875,0.82992,0.7845124210685522
electra_small_discriminator,causal_mediation,0.1,5,,0.4773072557653743,0.77116,0.7401686388436194,0.83568,0.785029872618645
electra_small_discriminator,causal_mediation,0.1,10,,0.4766371088365828,0.7722,0.7423260451534791,0.83384,0.7854263215402586
electra_small_discriminator,causal_mediation,0.25,5,,0.484442348729626,0.76984,0.7380717108977979,0.83656,0.7842357882105895
electra_small_discriminator,causal_mediation,0.25,10,,0.4819256424408117,0.77224,0.7390418656926103,0.84168,0.7870287253141832
electra_small_discriminator,causal_mediation,0.5,5,,0.4979604122658532,0.76764,0.7319559037648201,0.84456,0.7842365263900755
electra_small_discriminator,causal_mediation,0.5,10,,0.499072212918935,0.76984,0.7382735235942357,0.83608,0.7841386554621849
electra_small_discriminator,causal_mediation,0.75,5,,0.5394906436336857,0.74592,0.6975578406169666,0.86832,0.7736279401282964
electra_small_discriminator,causal_mediation,0.75,10,,0.53683362287241,0.74864,0.7036163522012578,0.8592,0.773663737213658
electra_small_discriminator,causal_mediation,1.0,5,,0.5562861229907375,0.74296,0.6948293559148062,0.86648,0.7712190259185417
electra_small_discriminator,causal_mediation,1.0,10,,0.5883981353452552,0.7558,0.7374322417761937,0.79448,0.7648939038009782
modern_bert,naive_baseline,,5,0.4902611128599767,0.4790701958388376,0.76932,0.7882206348899661,0.76932,0.7654751428303553
modern_bert,naive_baseline,,10,0.474602030939348,0.4443493838340368,0.79492,0.7950172924548027,0.79492,0.7949030904981604
modern_bert,causal_subset,,5,0.4921556061380426,0.53053579118129,0.73592,0.7751515992941789,0.73592,0.7261588103031316
modern_bert,causal_subset,,10,0.4791332926512985,0.4791659248333784,0.76624,0.7724690344837072,0.76624,0.7648962977040459
modern_bert,causal_mediation,0.005,5,,0.4299222228480163,0.80256,0.8133388566694283,0.78536,0.799104599104599
modern_bert,causal_mediation,0.005,10,,0.4126310698873937,0.81228,0.819932792394066,0.80032,0.8100076919962753
modern_bert,causal_mediation,0.01,5,,0.4075782664062995,0.81632,0.8248439040420638,0.8032,0.8138780804150454
modern_bert,causal_mediation,0.01,10,,0.3977131652106517,0.82296,0.8338018852323467,0.80672,0.8200374074977637
modern_bert,causal_mediation,0.025,5,,0.3935580358447856,0.82676,0.8351522113727743,0.81424,0.8245635354640094
modern_bert,causal_mediation,0.025,10,,0.3840593676048826,0.8306,0.8441169123157631,0.81096,0.8272063323677016
modern_bert,causal_mediation,0.05,5,,0.381257289285299,0.83344,0.8419196062346186,0.82104,0.83134872417983
modern_bert,causal_mediation,0.05,10,,0.3725077224226807,0.83828,0.8483974623053473,0.82376,0.8358972277468849
modern_bert,causal_mediation,0.075,5,,0.3683834864411763,0.8416,0.8510935701364907,0.82808,0.83942908117752
modern_bert,causal_mediation,0.075,10,,0.3610342250778194,0.84628,0.8584679089026915,0.82928,0.8436215666327568
modern_bert,causal_mediation,0.1,5,,0.3579632951463891,0.84792,0.8600761715515813,0.83104,0.8453088127593783
modern_bert,causal_mediation,0.1,10,,0.3491668774974571,0.85268,0.8640680485589232,0.83704,0.8503393067576903
modern_bert,causal_mediation,0.25,5,,0.352474272771907,0.85392,0.8661039390930155,0.83728,0.8514480963228117
modern_bert,causal_mediation,0.25,10,,0.3434639463793446,0.86008,0.8709411570792813,0.84544,0.8580011366404157
modern_bert,causal_mediation,0.5,5,,0.3606336807935801,0.86028,0.8679029491054653,0.84992,0.8588173477224041
modern_bert,causal_mediation,0.5,10,,0.3523369384125132,0.86496,0.874979450928818,0.8516,0.8631314359847564
modern_bert,causal_mediation,0.75,5,,0.3745944115809347,0.8616,0.87404832836809,0.84496,0.859258054018874
roberta,naive_baseline,,5,0.3623610471857333,0.2857264756550982,0.88728,0.8888728230833495,0.88728,0.8871644564033571
roberta,naive_baseline,,10,0.3442634541853566,0.2611563135533142,0.89568,0.8969390678595603,0.89568,0.8955972100910023
roberta,causal_subset,,5,0.4482394904374924,0.4075751450706466,0.81656,0.821413176458014,0.81656,0.8158649133224674
roberta,causal_subset,,10,0.4391999054349773,0.4009026389078059,0.81884,0.8258624132116912,0.81884,0.8178587028330352
roberta,causal_mediation,0.005,5,,0.2590501389918481,0.89804,0.8910019646365422,0.90704,0.8989494549058473
roberta,causal_mediation,0.005,10,,0.2458105706374422,0.90264,0.8954274041483343,0.91176,0.903519898525448
roberta,causal_mediation,0.01,5,,0.2437933863677508,0.9046,0.8966977802180564,0.91456,0.9055408134975644
roberta,causal_mediation,0.01,10,,0.2406379818014791,0.90468,0.896776217742568,0.91464,0.905620024555428
roberta,causal_mediation,0.025,5,,0.2383964852112931,0.9062,0.8974559686888454,0.9172,0.9072205736894166
roberta,causal_mediation,0.025,10,,0.2366244249055978,0.9068,0.897265625,0.9188,0.9079051383399208
roberta,causal_mediation,0.05,5,,0.2363367781677043,0.90664,0.8992930086410055,0.91584,0.9074910820451842
roberta,causal_mediation,0.05,10,,0.2348277434974525,0.90708,0.8986915302044973,0.9176,0.908047341962554
roberta,causal_mediation,0.075,5,,0.2347283833485897,0.9084,0.8980196475908311,0.92144,0.9095790886835664
roberta,causal_mediation,0.075,10,,0.2326406430222465,0.90852,0.8994133750488854,0.91992,0.9095511172631996
roberta,causal_mediation,0.1,5,,0.2321118133420259,0.90908,0.901657371769696,0.91832,0.9099124093377196
roberta,causal_mediation,0.1,10,,0.2307846930875459,0.91012,0.9017318391975552,0.92056,0.9110486520723644
roberta,causal_mediation,0.25,5,,0.2420616248069582,0.91016,0.897257089725709,0.9264,0.9115956860584112
roberta,causal_mediation,0.25,10,,0.239106935203154,0.91168,0.902660406885759,0.92288,0.9126582278481012
roberta,causal_mediation,0.5,5,,0.3075673247038631,0.9096,0.8926982666053076,0.93112,0.911504424778761
roberta,causal_mediation,0.5,10,,0.2927475162744236,0.90864,0.8918379871126112,0.93008,0.9105576441102756
roberta,causal_mediation,0.75,5,,0.5109227874953245,0.89732,0.8699441340782123,0.93432,0.900983606557377
roberta,causal_mediation,0.75,10,,0.5001138875824629,0.89236,0.8575490267551213,0.94104,0.8973566769653278
roberta,causal_mediation,1.0,5,,0.6705334508030062,0.78628,0.7032430283410007,0.99056,0.8225329657554722
roberta,causal_mediation,1.0,10,,0.6890078077160694,0.8476,0.9063786008230452,0.77528,0.8357192135219041
