model,experiment_type,lambda_reg,epochs,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
albert,causal_mediation,0.025,10,,0.1198328279902633,0.9598,0.956839678880852,0.96304,0.9599298273593556
albert,causal_mediation,0.01,5,,0.1152481267448295,0.96072,0.9591771647265188,0.9624,0.960785879722067
albert,causal_mediation,0.01,10,,0.1059399353601252,0.96644,0.9652118407404452,0.96776,0.9664842408021412
albert,causal_mediation,0.005,5,,0.1020215692201787,0.96792,0.96777031349968,0.96808,0.9679251319788834
albert,causal_mediation,0.005,10,,0.0945129980898765,0.97088,0.9705035971223022,0.97128,0.970891643342663
bert,naive_baseline,,5,0.3652629800526972,0.3235055832508105,0.86032,0.8612849278781595,0.86032,0.8602266725665421
bert,naive_baseline,,10,0.3559185231124752,0.3204167341737176,0.86104,0.8631021039061155,0.86104,0.8608424265263555
bert,causal_subset,,5,0.45463368644603,0.4343947442278256,0.79564,0.7988776357448925,0.79564,0.7950850572206988
bert,causal_subset,,10,0.4471013706346696,0.4247249297711876,0.79976,0.800108560006629,0.79976,0.7997018411061065
bert,causal_mediation,1.0,5,,0.532117028497231,0.82224,0.7732329398996066,0.91192,0.8368695396813743
bert,causal_mediation,1.0,10,,0.3707562085057556,0.84732,0.8071453837990803,0.91272,0.8566923221325324
bert,causal_mediation,0.75,5,,0.3377761440309895,0.8644,0.8448145344436033,0.8928,0.868144690781797
bert,causal_mediation,0.75,10,,0.3313522715591042,0.86988,0.8588838003570597,0.8852,0.8718433597289524
bert,causal_mediation,0.5,5,,0.3077572084574824,0.87408,0.8598030163127116,0.89392,0.8765296517100721
bert,causal_mediation,0.5,10,,0.2969573679119729,0.88004,0.8703516020893428,0.89312,0.8815888182571959
bert,causal_mediation,0.25,5,,0.2849284367795535,0.88208,0.868917040012359,0.89992,0.884146820718384
bert,causal_mediation,0.25,10,,0.2752652645810619,0.88732,0.8777405008972459,0.9,0.8887308922858158
bert,causal_mediation,0.1,5,,0.2691549473291386,0.88768,0.87859375,0.89968,0.8890118577075099
bert,causal_mediation,0.1,10,,0.261102137233888,0.892,0.8838921968035098,0.90256,0.8931285623812539
deberta,causal_subset,,5,0.5958761089860973,0.577854446909478,0.7674,0.7711344347815332,0.7674,0.7665963111819767
deberta,causal_subset,,10,0.5520564618205231,0.5277602583722891,0.75936,0.778288230382139,0.75936,0.7551973363386767
deberta,causal_mediation,1.0,5,,0.5498074686932564,0.86504,0.8717008797653959,0.85608,0.8638198256377139
deberta,causal_mediation,1.0,10,,0.5761590839242935,0.8756,0.8709702907711757,0.88184,0.8763714422006679
deberta,causal_mediation,0.75,5,,0.4549850446522236,0.87188,0.8899421189497525,0.84872,0.8688423897465296
deberta,causal_mediation,0.75,10,,0.4176661922490596,0.87004,0.9040796715296584,0.82792,0.8643253852257068
deberta,causal_mediation,0.5,5,,0.3417366556590795,0.87484,0.8900357945558978,0.85536,0.8723534451107575
deberta,causal_mediation,0.5,10,,0.3139838241887092,0.87712,0.8923102529960053,0.85776,0.8746940773372491
deberta,causal_mediation,0.25,5,,0.296220227477476,0.88008,0.8863229793462352,0.872,0.8791031534801194
deberta,causal_mediation,0.25,10,,0.2864296045744419,0.88176,0.8890428827653677,0.8724,0.8806428167649196
deberta,causal_mediation,0.1,5,,0.2817543055423722,0.88372,0.8875959595959596,0.87872,0.8831356783919598
deberta,causal_mediation,0.1,10,,0.2776152073100954,0.8852,0.889752306945119,0.87936,0.8845256296773155
deberta,causal_mediation,0.075,5,,0.2771105624435097,0.8838,0.892626237826336,0.87256,0.8824790646870828
deberta,causal_mediation,0.075,10,,0.2739677361221984,0.88604,0.8904442106966584,0.8804,0.8853936200168953
deberta,causal_mediation,0.05,5,,0.2724754974297434,0.88664,0.893759165716148,0.8776,0.8856058771292484
deberta,causal_mediation,0.05,10,,0.2700445873715356,0.888,0.8928397861655597,0.88184,0.8873058037511068
distilbert,naive_baseline,,5,0.3528418661603467,0.3160012536536203,0.86588,0.865891804547755,0.86588,0.8658789182330031
distilbert,naive_baseline,,10,0.3437506290711581,0.3200696853170635,0.86228,0.864534371541391,0.86228,0.8620667465831825
distilbert,causal_subset,,5,0.4224944856310989,0.4008419531816408,0.8152,0.8152728406371007,0.8152,0.8151893253354313
